Mae_Jemison
Mildred_Dresselhaus
Romana_Jordan_Cizelj
Angela_Merkel
Danielle_Fong
Sally_Ride
Frances_Spence
Lise_Meitner
Emmy_Noether
Johanna_Budwig
Irene_S%C3%A4nger-Bredt
Ida_Noddack
Ursula_Franklin
Maria_Goeppert_Mayer
Sophie_Germain
Marie_Curie
Agnes_Pockels
%C3%89milie_du_Ch%C3%A2telet
Hertha_Sponer
Rosalind_Franklin
Dorothy_Hodgkin
Irène_Joliot-Curie
Joyce_Jacobson_Kaufman
Grace_Hopper
Jennifer_Tour_Chayes
Dorit_Aharonov
Charlotte_Froese_Fischer
Sabina_Jeschke
Lydia_Kavraki
Katherine_Johnson
Valerie_Thomas
Tracy_Caldwell_Dyson
Hertha_Ayrton
Katharine_Burr_Blodgett
Lene_Hau
Mary_Somerville
Charlotte_Moore_Sitterly
Ingrid_Daubechies
Mazlan_Othman
Catherine_Br%C3%A9chignac
Eva_Crane
Kathryn_C._Thornton
Harriet_Brooks
Anne_Lauvergeon
Pelageya_Polubarinova-Kochina
Asl%C4%B1_Erdo%C4%9Fan
Margaret_Oakley_Dayhoff
Tatyana_Afanasyeva
Sylvia_Fedoruk
Tina_Birbili
Yvonne_Choquet-Bruhat
Athene_Donald
Michal_Lipson
Michele_Dougherty
Laura_Bassi
Deborah_Berebichez
Renata_Kallosh
Margaret_Eliza_Maltby
C%C3%A9cile_DeWitt-Morette
Engin_Ar%C4%B1k
Anne_L%27Huillier
Bruria_Kaufman
Ene_Ergma
Marjorie_Courtenay-Latimer
Eug%C3%A9nie_Cotton
Helen_Quinn
Karen_Barad
Chien-Shiung_Wu
Lisa_Randall
Phyllis_Nicolson
Berta_Karlik
Gertrude_Scharff_Goldhaber
Maria_Angela_Ardinghelli
Hertha_Wambacher
Marietta_Blau
Ille_Gebeshuber
Renate_Loll
Martha_Kyrle
Erika_Cremer
Rosalyn_Sussman_Yalow
Johanna_Stachel
Sofya_Kovalevskaya
Hannelore_Valencak
Hedwig_Kohn
Gisela_Anton
Elsa_Neumann
Inge_Schmitz-Feuerhake
Annie_Jump_Cannon
Gertrude_Neumark
Dagmar_Schipanski
Jocelyn_Bell_Burnell
Vera_Rubin
Evelyn_Fox_Keller
Shannon_Walker
"Margaret_Cavendish,_Duchess_of_Newcastle-upon-Tyne"
Margaret_Lindsay_Huggins
Marguerite_Perey
Monique_Sen%C3%A9
Astrid_Beckmann
Laura_Mersini-Houghton
Britta_Nestler
Fabiola_Gianotti
Chen_Zhili
Liia_H%C3%A4nni
H%C3%A9l%C3%A8ne_Langevin-Joliot
Cecilia_Jarlskog
Cornelia_Denz
Clara_von_Simson
Deborah_S._Jin
Catherine_Meusburger
Tatyana_Nikitina
Christine_Silberhorn
Claudia_Felser
Nergis_Mavalvala
Katharina_Boll-Dornberger
Katrin_Becker
Iris_Runge
Melba_Phillips
Katrin_Wendland
Verena_Meyer
Joan_Hinton
Uta_Fritze-von_Alvensleben
Helen_T._Edwards
Fay_Ajzenberg-Selove
Diana_%C3%9Crge-Vorsatz
Giedr%C4%97_Purvaneckien%C4%97
Gerta_von_Ubisch
Karina_Morgenstern
Irina_Rakobolskaya
Isolde_Hausser
Franziska_Seidl
Felicitas_Pauss
Gerda_Laski
He_Zehui
Leona_Woods
Margaret_G._Kivelson
Matilde_Marcolli
Lillian_Hoddeson
Persis_Drell
Milla_Baldo-Ceolin
Lieselott_Herforth
Margaret_Murnane
Marie-Anne_Bouchiat
Mary_K._Gaillard
Melanie_Becker
Olga_Kocharovskaya
Kirstine_Meyer
Geertruida_de_Haas-Lorentz
Joan_Feynman
Renate_Chasman
Rosa_Luz_Alegr%C3%ADa
Sibylle_G%C3%BCnter
Sylvia_Speller
Silke_B%C3%BChler-Paschen
Ann_Nelson
Augusta_D%C3%A9jerine-Klumpke
Barbara_Romanowicz
Sulamith_Goldhaber
Annie_Sugier
Elizabeth_Rona
Catherine_Asaro
Grete_Hermann
Eva_Silverstein
Elena_Aprile
Ursula_Keller
Eleonore_Trefftz
Edith_Clarke
Annette_Zippelius
Fran%C3%A7oise_Balibar
Fran%C3%A7oise_Combes
Fran%C3%A7oise_Brochard-Wyart
Joanna_Hoffman
Heather_Couper
Julia_Higgins
Faouzia_Charfi
Marie-Antoinette_Tonnelat
Conny_Aerts
Sarah_Frances_Whiting
Mioara_Mugur-Sch%C3%A4chter
Mary_Celine_Fasenmyer
Alenush_Terian
Nina_Byers
Elsa_Beata_Bunge
Marie-Louise_Dubreil-Jacotin
